commodity_id,date,month_label,price_per_qtl,is_projected,lower_confidence_inr,upper_confidence_inr,trading_volume_qtl
wheat,2026-05-15,May 26,2280,false,2280,2280,48000
wheat,2026-06-01,Jun 26,2320,false,2320,2320,52000
wheat,2026-06-15,Mid-Jun,2360,false,2360,2360,56000
wheat,2026-07-01,Jul 26,2390,false,2390,2390,61000
wheat,2026-07-15,Mid-Jul,2420,false,2420,2420,59000
wheat,2026-08-01,Aug 26,2450,false,2450,2450,64000
wheat,2026-08-15,Mid-Aug,2470,false,2470,2470,68000
wheat,2026-08-23,Today,2480,false,2480,2480,72000
wheat,2026-09-01,Sep 26,2520,true,2480,2560,70000
wheat,2026-09-15,Mid-Sep,2560,true,2510,2610,68000
wheat,2026-10-01,Oct 26,2610,true,2550,2670,65000
wheat,2026-10-15,Mid-Oct,2660,true,2590,2730,62000
wheat,2026-11-01,Nov 26,2720,true,2640,2800,58000
soyabean,2026-06-01,Jun 26,4920,false,4920,4920,32000
soyabean,2026-07-01,Jul 26,5020,false,5020,5020,35000
soyabean,2026-08-01,Aug 26,5120,false,5120,5120,38000
soyabean,2026-08-23,Today,5150,false,5150,5150,42000
soyabean,2026-09-01,Sep 26,5230,true,5160,5300,41000
soyabean,2026-10-01,Oct 26,5350,true,5250,5450,39000
onion,2026-06-01,Jun 26,2100,false,2100,2100,85000
onion,2026-07-01,Jul 26,2450,false,2450,2450,91000
onion,2026-08-01,Aug 26,2720,false,2720,2720,96000
onion,2026-08-23,Today,2850,false,2850,2850,99000
onion,2026-09-01,Sep 26,3050,true,2920,3180,94000
onion,2026-10-01,Oct 26,3280,true,3100,3460,88000
