date,avg_price,min_price,max_price,mandi_count,arrival_quantity,days_since_previous,day,month,day_of_week,day_of_year,lag_1,lag_2,lag_3,lag_7,lag_14,ma_3,ma_7,ma_14,std_7,change_1,change_3
2025-01-19,4960.0,3700.0,6000.0,5,0.0,1.0,19,1,6,19,5407.5,5732.175,5697.836734693878,5882.821428571428,5777.72972972973,5366.558333333333,5589.132516808784,5615.993905149283,367.4358567691546,-0.08275543226999538,-0.129494186837826
2025-01-20,5334.5,4400.0,7450.0,32,0.0,1.0,20,1,0,20,4960.0,5407.5,5732.175,5454.848484848485,5485.4807692307695,5234.0,5571.939876116143,5605.209564489943,377.44559478973343,0.07550403225806446,-0.06937593496360461
2025-01-21,5572.777777777777,3800.0,8200.0,27,0.0,1.0,21,1,1,21,5334.5,4960.0,5407.5,6148.636363636364,5472.8725490196075,5289.092592592592,5489.6743638506305,5612.345652258383,281.31821364187647,0.044667312358754874,0.030564545127651943
2025-01-22,5513.25,3900.0,8200.0,48,0.0,1.0,22,1,2,22,5572.777777777777,5334.5,4960.0,5722.931034482759,5568.426229508197,5473.509259259259,5459.719930353093,5608.404493007797,262.90235309657356,-0.010681886152925868,0.11154233870967745
2025-01-23,5631.628571428571,4300.0,8200.0,35,0.0,1.0,23,1,3,23,5513.25,5572.777777777777,5334.5,5697.836734693878,5755.0,5572.552116402117,5450.261621315192,5599.592248109838,253.9463967980408,0.021471649467840415,0.055699422894099015
2025-01-24,5563.08,3000.0,8200.0,50,0.0,1.0,24,1,4,24,5631.628571428571,5513.25,5572.777777777777,5732.175,5515.547368421053,5569.319523809524,5426.105192743764,5602.987436079763,229.5287697575721,-0.01217206897776335,-0.0017402053633734926
2025-01-25,5672.243902439024,4450.0,8200.0,41,0.0,1.0,25,1,5,25,5563.08,5631.628571428571,5513.25,5407.5,5819.8387096774195,5622.317491289199,5463.925750235053,5592.444949848448,247.0917798812479,0.019622925149202386,0.028838507674969316
2025-01-26,4584.0,3668.0,5500.0,2,0.0,1.0,26,1,6,26,5672.243902439024,5563.08,5631.628571428571,4960.0,5882.821428571428,5273.107967479675,5410.211464520768,5499.671990664776,380.0126486617445,-0.19185421522002732,-0.1860258641245618
2025-01-27,5428.111111111111,3950.0,8200.0,63,0.0,1.0,27,1,0,27,4584.0,5672.243902439024,5563.08,5334.5,5454.848484848485,5228.1183378500455,5423.5844803937825,5497.762178254963,378.5485410245488,0.18414291254605386,-0.02426154016999371
2025-01-28,5510.224489795918,4000.0,8200.0,49,0.0,1.0,28,1,1,28,5428.111111111111,4584.0,5672.243902439024,5572.777777777777,6148.636363636364,5174.11186696901,5414.6482963963745,5452.161330123503,375.1628204359478,0.015127431440510541,-0.028563548294077923
2025-01-29,5375.414634146341,3600.0,8200.0,41,0.0,1.0,29,1,2,29,5510.224489795918,5428.111111111111,4584.0,5513.25,5722.931034482759,5437.91674501779,5394.957529845852,5427.338730099473,372.734434352689,-0.02446540170899103,0.172647171497893
2025-01-30,5376.31884057971,3300.0,8200.0,69,0.0,1.0,30,1,3,30,5375.414634146341,5510.224489795918,5428.111111111111,5631.628571428571,5697.836734693878,5420.652654840656,5358.484711153158,5404.373166234175,357.91249037609117,0.00016821147667855918,-0.009541490487434023
2025-01-31,5623.408450704225,4300.0,8200.0,71,0.0,1.0,31,1,4,31,5376.31884057971,5375.414634146341,5510.224489795918,5563.08,5732.175,5458.380641810091,5367.103061253761,5396.604126998763,364.32895585663067,0.045958883290090125,0.020540716828852723
2025-02-01,5620.046511627907,4025.0,8101.0,43,0.0,1.0,1,2,5,32,5623.408450704225,5376.31884057971,5375.414634146341,5672.243902439024,5407.5,5539.924600970614,5359.646291137887,5411.786020686471,357.51311412718314,-0.000597847214156566,0.04550939678728905
2025-02-02,5526.25,5305.0,5700.0,4,0.0,1.0,2,2,6,33,5620.046511627907,5623.408450704225,5376.31884057971,4584.0,4960.0,5589.901654110711,5494.25343399503,5452.232449257899,105.03158820961549,-0.016689632627388762,0.02788732660135973
2025-02-03,5696.727272727273,5100.0,8000.0,11,0.0,1.0,3,2,0,34,5526.25,5620.046511627907,5623.408450704225,5428.111111111111,5334.5,5614.3412614517265,5532.627171368768,5478.105825881275,124.16578271629075,0.03084863564393081,0.013038146288994135
2025-02-04,5648.277777777777,4525.0,9505.0,90,0.0,1.0,4,2,1,35,5696.727272727273,5526.25,5620.046511627907,5510.224489795918,5572.777777777777,5623.751683501683,5552.349069651891,5483.498683024132,130.80096795206506,-0.00850479453026376,0.0050233153927568
2025-02-05,5562.294117647059,4141.0,8700.0,119,0.0,1.0,5,2,2,36,5648.277777777777,5696.727272727273,5526.25,5375.414634146341,5513.25,5635.766389384036,5579.046138723423,5487.001834284637,105.24363348604578,-0.01522298716770043,0.006522346554545866
2025-02-06,5357.741573033708,4170.0,8000.0,89,0.0,1.0,6,2,3,37,5562.294117647059,5648.277777777777,5696.727272727273,5376.31884057971,5631.628571428571,5522.771156152849,5576.392243359706,5467.438477256433,111.26948188543844,-0.03677485229779254,-0.05950534113093986
2025-02-07,5474.06,3900.0,8551.0,100,0.0,1.0,7,2,4,38,5357.741573033708,5562.294117647059,5648.277777777777,5623.408450704225,5563.08,5464.698563560257,5555.056750401961,5461.079905827862,115.00748312902698,0.021710346678858183,-0.030844406849678707
2025-02-08,5828.098360655737,4500.0,8100.0,61,0.0,1.0,8,2,5,39,5474.06,5357.741573033708,5562.294117647059,5620.046511627907,5672.243902439024,5553.299977896481,5584.778443120222,5472.212367129055,154.652689271552,0.06467564488802413,0.047786801162740034
2025-02-09,5545.3725490196075,4000.0,8000.0,51,0.0,1.0,9,2,6,40,5828.098360655737,5474.06,5357.741573033708,5526.25,4584.0,5615.843636558448,5587.51023583731,5540.881834916169,153.61192053851545,-0.04851081676053248,0.035020534945222836
2025-02-10,5490.0,4500.0,8000.0,10,0.0,1.0,10,2,0,41,5545.3725490196075,5828.098360655737,5474.06,5696.727272727273,5428.111111111111,5621.156969891781,5557.9777683048405,5545.3024698368035,148.9152170785538,-0.00998536140360795,0.002911915470418691
2025-02-13,5628.241379310345,3900.0,9001.0,116,0.0,3.0,13,2,3,44,5490.0,5545.3725490196075,5828.098360655737,5648.277777777777,5510.224489795918,5554.537976109984,5555.115425666637,5553.732247659263,147.0714019041929,0.025180579109352452,-0.034291971236207086
2025-02-14,5668.40650406504,3150.0,8375.0,123,0.0,1.0,14,2,4,45,5628.241379310345,5490.0,5545.3725490196075,5562.294117647059,5375.414634146341,5595.549294458462,5570.274338012064,5574.660238367743,153.272507868631,0.0071363543330504875,0.022186778968923182
2025-02-15,5651.34375,4500.0,9000.0,96,0.0,1.0,15,2,5,46,5668.40650406504,5628.241379310345,5490.0,5357.741573033708,5376.31884057971,5649.330544458462,5612.217506150105,5594.3048747549055,122.50322302329504,-0.0030101500400163683,0.029388661202185862
2025-02-16,5878.1,5350.0,8800.0,10,0.0,1.0,16,2,6,47,5651.34375,5668.40650406504,5628.241379310345,5474.06,5623.408450704225,5732.616751355014,5669.937506150104,5612.4971282760325,140.43210289246326,0.040124306719087954,0.04439372867129432
2025-02-17,5631.81746031746,4299.0,8500.0,126,0.0,1.0,17,2,0,48,5878.1,5651.34375,5668.40650406504,5828.098360655737,5620.046511627907,5720.420403439154,5641.897377530351,5613.337910325286,121.97103033237032,-0.04189832423445328,-0.006454908221797506
2025-02-18,5647.962264150943,5000.0,8500.0,106,0.0,1.0,18,2,1,49,5631.81746031746,5878.1,5651.34375,5545.3725490196075,5526.25,5719.293241489468,5656.553051120542,5622.031643478926,114.36623364878962,0.0028667129123487456,-0.000598350763755362
2025-02-19,5664.466666666666,5100.0,8700.0,15,0.0,1.0,19,2,2,50,5647.962264150943,5631.81746031746,5878.1,5490.0,5696.727272727273,5648.082130378357,5681.476860644351,5619.727314474597,87.98877286265405,0.0029221871081683837,-0.03634394333769997
2025-02-20,5581.632075471698,4750.0,10401.0,106,0.0,1.0,20,2,3,51,5664.466666666666,5647.962264150943,5631.81746031746,5628.241379310345,5648.277777777777,5631.353668763102,5674.8183886674005,5614.96690716702,94.23088914035334,-0.01462354641124819,-0.008911046069830064
2025-02-21,5469.72,4000.0,8500.0,125,0.0,1.0,21,2,4,52,5581.632075471698,5664.466666666666,5647.962264150943,5668.40650406504,5562.294117647059,5571.939580712788,5646.434602372395,5608.354470192229,122.2439666594464,-0.020050063128218665,-0.03155868538327389
2025-02-22,5472.165048543689,3500.0,8400.0,103,0.0,1.0,22,2,5,53,5469.72,5581.632075471698,5664.466666666666,5651.34375,5357.741573033708,5507.839041338462,5620.837645021494,5616.527575585799,138.69683509347158,0.00044701530310309323,-0.03394875977549694
2025-02-23,5583.9375,5100.0,8300.0,16,0.0,1.0,23,2,6,54,5472.165048543689,5469.72,5581.632075471698,5878.1,5474.06,5508.60751618123,5578.81443073578,5624.3759684429415,79.82994428875203,0.020425636007827874,0.00041303770960343655
2025-02-24,5463.441666666667,4000.0,8500.0,120,0.0,1.0,24,2,0,55,5583.9375,5472.165048543689,5469.72,5631.81746031746,5828.098360655737,5506.514738403453,5554.760745928523,5598.329061729436,86.30219706099979,-0.021579008241645492,-0.0011478345021926906
2025-02-25,5492.662921348315,4900.0,9000.0,89,0.0,1.0,25,2,1,56,5463.441666666667,5583.9375,5472.165048543689,5647.962264150943,5545.3725490196075,5513.347362671661,5532.575125528148,5594.564088324344,77.90231046650332,0.0053485067590144375,0.0037458433038455308
2025-02-26,5788.583333333333,5140.0,8000.0,12,0.0,1.0,26,2,2,57,5492.662921348315,5463.441666666667,5583.9375,5664.466666666666,5490.0,5581.562640449439,5550.3060779091,5615.891469276727,117.15853716901243,0.05387558206691789,0.03664901932253595
2025-02-27,5470.582417582417,4900.0,8200.0,91,0.0,1.0,27,2,3,58,5788.583333333333,5492.662921348315,5463.441666666667,5581.632075471698,5628.241379310345,5583.942890754689,5534.441841067775,5604.6301148675875,119.70071206150341,-0.054935879374789276,0.0013070059774440423
2025-02-28,5385.507142857143,4500.0,8200.0,140,0.0,1.0,28,2,4,59,5470.582417582417,5788.583333333333,5492.662921348315,5469.72,5668.40650406504,5548.224297924297,5522.41143290451,5584.423017638453,130.98923326241479,-0.015551410842809532,-0.01950889396010269
2025-03-01,5733.75,4551.0,8199.0,44,0.0,1.0,1,3,5,60,5385.507142857143,5470.582417582417,5788.583333333333,5472.165048543689,5651.34375,5529.946520146521,5559.780711683982,5590.309178352739,150.1738576945662,0.06466296449067666,-0.00947266890286913
2025-03-02,5607.7972972972975,4155.0,8200.0,74,0.0,1.0,2,3,6,61,5733.75,5385.507142857143,5470.582417582417,5583.9375,5878.1,5575.684813384813,5563.189254155025,5571.001842445402,151.08156745556616,-0.02196689822589104,0.02508231651421111
2025-03-03,5452.878260869566,4838.0,8750.0,115,0.0,1.0,3,3,0,62,5607.7972972972975,5733.75,5385.507142857143,5463.441666666667,5631.81746031746,5598.141852722288,5561.68019618401,5558.220471056266,152.29184339459468,-0.02762564839895265,0.012509707298741235
2025-03-04,5615.233009708738,4600.0,9100.0,103,0.0,1.0,4,3,1,63,5452.878260869566,5607.7972972972975,5733.75,5492.662921348315,5647.962264150943,5558.636189291868,5579.190208806927,5555.882667167537,150.0639581442016,0.029774137817131674,-0.020670065889036304
2025-03-05,5593.461538461538,4611.0,9000.0,91,0.0,1.0,5,3,2,64,5615.233009708738,5452.878260869566,5607.7972972972975,5788.583333333333,5664.466666666666,5553.85760301328,5551.315666682386,5550.810872295742,119.7458480588766,-0.003877215996122896,-0.00255639747226033
2025-03-06,5386.449438202248,3400.0,8800.0,89,0.0,1.0,6,3,3,65,5593.461538461538,5615.233009708738,5452.878260869566,5470.582417582417,5581.632075471698,5531.7146621241745,5539.2966696280755,5536.869255347925,132.71914614184607,-0.03700965830118652,-0.012182341048032952
2025-03-07,5509.978494623656,4700.0,8450.0,93,0.0,1.0,7,3,4,66,5386.449438202248,5593.461538461538,5615.233009708738,5385.507142857143,5469.72,5496.62982376248,5557.078291309006,5539.744862106758,115.96067211894194,0.022933299168336196,-0.01874446080921255
2025-03-08,5650.0,3500.0,7500.0,6,0.0,1.0,8,3,5,67,5509.978494623656,5386.449438202248,5593.461538461538,5733.75,5472.165048543689,5515.475977608635,5545.11400559472,5552.4473586393515,97.55409374235022,0.025412350613159385,0.010107955717527428
2025-03-09,5435.920634920635,3000.0,8231.0,63,0.0,1.0,9,3,6,68,5650.0,5509.978494623656,5386.449438202248,5607.7972972972975,5583.9375,5531.966376514763,5520.5601966837685,5541.874725419397,100.72617803695653,-0.03789015311139199,0.009184379670868825
2025-03-10,5137.040816326531,3000.0,7900.0,49,0.0,1.0,10,3,0,69,5435.920634920635,5650.0,5509.978494623656,5452.878260869566,5463.441666666667,5407.653817082389,5475.440561749049,5518.56037896653,177.54359940079505,-0.0549823734868542,-0.06768405333360517
2025-03-12,5014.857142857143,4300.0,6150.0,7,0.0,2.0,12,3,2,71,5137.040816326531,5435.920634920635,5650.0,5615.233009708738,5492.662921348315,5195.9395313681025,5389.6725807702505,5484.431394788589,234.60339207993653,-0.02378483602486947,-0.11241466498103658
2025-03-13,5491.9047619047615,5000.0,8200.0,21,0.0,1.0,13,3,3,72,5014.857142857143,5137.040816326531,5435.920634920635,5593.461538461538,5788.583333333333,5214.600907029479,5375.164469833568,5463.240068257976,222.7407282224614,0.09512686113643265,0.010298922803339217
2025-03-14,5468.75,5000.0,7600.0,8,0.0,1.0,14,3,4,73,5491.9047619047615,5014.857142857143,5137.040816326531,5386.449438202248,5470.582417582417,5325.170634920635,5386.921692947532,5463.109181287805,225.58954871344858,-0.004216162316829863,0.06457203583417748
2025-03-15,5337.554054054054,4595.0,8200.0,74,0.0,1.0,15,3,5,74,5468.75,5491.9047619047615,5014.857142857143,5509.978494623656,5385.507142857143,5432.736271986272,5362.289630009019,5459.683960659012,219.2376505801161,-0.023990115830115788,0.0643481762300131
2025-03-16,5522.5,4950.0,7800.0,12,0.0,1.0,16,3,6,75,5337.554054054054,5468.75,5491.9047619047615,5650.0,5733.75,5442.934684684685,5344.0753442947325,5444.594674944726,195.34527927708828,0.03464994341471317,0.005570970259256125
2025-03-17,5220.938053097345,4600.0,8200.0,113,0.0,1.0,17,3,0,76,5522.5,5337.554054054054,5468.75,5435.920634920635,5607.7972972972975,5360.3307023838,5313.363546891405,5416.9618717875865,195.39848276028684,-0.05460605647852512,-0.045314184576485506
2025-03-18,5282.212389380531,4488.0,9780.0,113,0.0,1.0,18,3,1,77,5220.938053097345,5522.5,5337.554054054054,5137.040816326531,5452.878260869566,5341.883480825959,5334.102343041976,5404.771452395513,180.71773941247122,0.011736269547736766,-0.010368356762867625
2025-03-19,5296.86,4600.0,8200.0,100,0.0,1.0,19,3,2,78,5282.212389380531,5220.938053097345,5522.5,5014.857142857143,5615.233009708738,5266.670147492626,5374.388465490956,5382.030523130603,118.36532478623641,0.002773006751662699,-0.04085830692621106
2025-03-20,5324.929203539823,4000.0,8200.0,113,0.0,1.0,20,3,3,79,5296.86,5282.212389380531,5220.938053097345,5491.9047619047615,5593.461538461538,5301.333864306785,5350.534814295965,5362.849642064766,107.0165583863185,0.005299215674913649,0.01991809697508007
2025-03-21,5363.215384615384,4150.0,8200.0,130,0.0,1.0,21,3,4,80,5324.929203539823,5296.86,5282.212389380531,5468.75,5386.449438202248,5328.334862718402,5335.458440669591,5361.190066808561,94.26041061305075,0.007189988751420406,0.015335050782453008
2025-03-22,5354.430107526881,4611.0,7900.0,93,0.0,1.0,22,3,5,81,5363.215384615384,5324.929203539823,5296.86,5337.554054054054,5509.978494623656,5347.524898560696,5337.869305451423,5350.07946773022,94.5383491134317,-0.0016380615840460022,0.010868723645118372
2025-03-23,5376.333333333333,3000.0,8000.0,18,0.0,1.0,23,3,6,82,5354.430107526881,5363.215384615384,5324.929203539823,5522.5,5650.0,5364.6596084918665,5316.988353070471,5330.531848682601,54.71728182762023,0.00409067358553461,0.009653486051859339
2025-03-24,5393.206349206349,4500.0,9500.0,126,0.0,1.0,24,3,0,83,5376.333333333333,5354.430107526881,5363.215384615384,5220.938053097345,5435.920634920635,5374.656596688855,5341.5981096574715,5327.480828274437,41.44861790772018,0.0031383872291554926,0.005591974671946831
2025-03-25,5357.221374045802,4562.0,8200.0,131,0.0,1.0,25,3,1,84,5393.206349206349,5376.333333333333,5354.430107526881,5282.212389380531,5137.040816326531,5375.587018861828,5352.313678895368,5343.208010968672,32.201413549337936,-0.006672278572438128,0.0005213003929207538
2025-03-26,5431.582524271845,4635.0,8200.0,103,0.0,1.0,26,3,2,85,5357.221374045802,5393.206349206349,5376.333333333333,5296.86,5014.857142857143,5394.003415841332,5371.559753791346,5372.974109641151,33.7568406880529,0.013880544602151712,0.010276370067303198
2025-03-27,5484.1,4800.0,8900.0,90,0.0,1.0,27,3,3,86,5431.582524271845,5357.221374045802,5393.206349206349,5324.929203539823,5491.9047619047615,5424.301299439216,5394.298438999942,5372.416626647953,47.7994245506981,0.009668908737642035,0.016853360488798597
2025-03-28,5554.337078651685,4725.0,8850.0,89,0.0,1.0,28,3,4,87,5484.1,5431.582524271845,5357.221374045802,5363.215384615384,5468.75,5490.006534307843,5421.601538147986,5378.5299894087875,74.31543724148635,0.01280740297435945,0.03679439224984282
2025-03-29,5476.55,3100.0,8000.0,40,0.0,1.0,29,3,5,88,5554.337078651685,5484.1,5431.582524271845,5354.430107526881,5337.554054054054,5504.995692883895,5439.047237072717,5388.4582712620695,70.1350729732399,-0.014004745759968906,0.00827889027317763
