date,avg_price,min_price,max_price,mandi_count,is_observed,day,month,day_of_week,day_of_year,lag_1_day,lag_7_day,lag_14_day,lag_30_day,ma_7,ma_14,ma_30,std_7,std_14,change_1_day,change_7_day
2025-01-31,1982.0408163265306,1230.0,2800.0,49.0,1,31,1,4,31,2047.5573770491803,2164.9795918367345,1929.6940816326533,2359.464285714286,2105.918520909595,2135.216315772598,1816.2504366545213,82.31357439104595,68.03120951281103,-0.031997423592138086,-0.08449907620376296
2025-02-01,2306.873015873016,1150.0,3200.0,63.0,1,1,2,5,32,1982.0408163265306,2158.074074074074,2086.2127659574467,2000.56,2127.1755125951577,2150.9777621951393,1826.460870516955,111.91710967322467,80.26587605688864,0.1638877448288487,0.06894987692337873
2025-02-02,2064.464285714286,1300.0,2725.0,28.0,1,2,2,6,33,2306.873015873016,2213.269230769231,2185.344827586207,2059.9056603773583,2105.9176633015945,2142.343437775716,1826.6128246948526,106.85654963345651,82.7478588075426,-0.10508108963552665,-0.06723309707930447
2025-02-03,2103.793103448276,1300.0,2800.0,29.0,1,3,2,0,34,2064.464285714286,2141.34,2179.8846153846152,1353.28125,2100.553820937062,2136.9083297802636,1851.6298864764617,105.71842269319194,82.59117500799314,0.019050374475421128,-0.017534299341405046
2025-02-04,1297.9574468085107,886.0,2250.0,47.0,1,4,2,1,35,2103.793103448276,2155.796296296296,2184.5208333333335,1071.1363636363637,1978.0054138673788,2073.582373599919,1859.190589248867,317.028056995403,237.63353943510725,-0.38303940407397463,-0.397922035102097
2025-02-05,988.4561818181818,600.0,1933.0,55.0,1,5,2,2,36,1297.9574468085107,2043.351851851852,2169.7894736842104,1071.1363636363637,1827.3060324339972,1989.2014241809168,1856.4345831882606,486.31370778451793,372.37978019490896,-0.23845255154654543,-0.5162574762039331
2025-02-06,1095.2484375,400.0,1750.0,64.0,1,6,2,3,37,988.4561818181818,2047.5573770491803,2180.866666666667,1325.0935,1691.2618982126858,1911.6572649547265,1848.773081104927,544.1886554891177,436.85062871133647,0.10803944337257598,-0.465095117833324
2025-02-07,1351.4915254237287,900.0,1800.0,59.0,1,7,2,4,38,1095.2484375,1982.0408163265306,2164.9795918367345,1220.7358490566037,1601.183428083714,1853.5509744966546,1853.1316036504982,540.2068073307015,454.31646154902904,0.23395887101982638,-0.3181313349900874
2025-02-08,1236.2641509433963,450.0,1900.0,53.0,1,8,2,5,39,1351.4915254237287,2306.873015873016,2158.074074074074,1254.0,1448.2393045223398,1787.707408558749,1852.5404086819447,451.36188698007004,473.19359072549696,-0.08525941325766395,-0.464095274236175
2025-02-09,1243.7045454545455,500.0,2200.0,44.0,1,9,2,6,40,1236.2641509433963,2064.464285714286,2213.269230769231,1254.0,1330.9879130566628,1718.4527881791287,1852.197226863763,362.45260304548816,477.05407549277567,0.0060184504302509545,-0.3975654826965267
