date,avg_price,min_price,max_price,mandi_count,missing_data,day,month,day_of_week,lag_1,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30
2025-01-31,1982.0408163265306,1230.0,2800.0,49.0,0,31,1,4,2047.5573770491803,2164.9795918367345,1929.6940816326533,2359.464285714286,2105.918520909595,2135.2163157725986,1849.641055593915
2025-02-01,2306.873015873016,1150.0,3200.0,63.0,0,1,2,5,1982.0408163265306,2158.074074074074,2086.2127659574467,2000.56,2127.1755125951577,2150.9777621951393,1859.8514894563489
2025-02-02,2064.464285714286,1300.0,2725.0,28.0,0,2,2,6,2306.873015873016,2213.269230769231,2185.344827586207,2059.9056603773583,2105.9176633015945,2142.343437775716,1860.0034436342467
2025-02-03,2103.793103448276,1300.0,2800.0,29.0,0,3,2,0,2064.464285714286,2141.34,2179.8846153846152,1353.28125,2100.553820937062,2136.9083297802636,1885.0205054158557
2025-02-04,1297.9574468085107,886.0,2250.0,47.0,0,4,2,1,2103.793103448276,2155.796296296296,2184.5208333333335,1071.1363636363637,1978.0054138673788,2073.582373599919,1892.581208188261
2025-02-05,988.4561818181818,600.0,1933.0,55.0,0,5,2,2,1297.9574468085107,2043.351851851852,2169.7894736842104,1198.114931818182,1827.3060324339972,1989.201424180917,1885.5925831882605
2025-02-06,1095.2484375,400.0,1750.0,64.0,0,6,2,3,988.4561818181818,2047.5573770491803,2180.866666666667,1325.0935,1691.2618982126858,1911.6572649547263,1877.9310811049274
2025-02-07,1351.4915254237287,900.0,1800.0,59.0,0,7,2,4,1095.2484375,1982.0408163265306,2164.9795918367345,1220.7358490566037,1601.183428083714,1853.5509744966546,1882.289603650498
2025-02-08,1236.2641509433963,450.0,1900.0,53.0,0,8,2,5,1351.4915254237287,2306.873015873016,2158.074074074074,1254.0,1448.2393045223398,1787.707408558749,1881.6984086819446
2025-02-09,1243.7045454545455,500.0,2200.0,44.0,0,9,2,6,1236.2641509433963,2064.464285714286,2213.269230769231,1399.79,1330.9879130566628,1718.4527881791287,1876.4955601970964
2025-02-10,1144.8076923076924,450.0,1600.0,26.0,0,10,2,0,1243.7045454545455,2103.793103448276,2141.34,1545.58,1193.9899971794366,1647.2719090582493,1863.1364832740194
2025-02-11,1561.685354193829,833.3333333333333,2118.3333333333335,0.0,1,11,2,1,1144.8076923076924,1297.9574468085107,2155.796296296296,1691.3700000000001,1231.6654125201962,1604.8354131937874,1858.8136617471469
2025-02-12,1978.5630160799653,1216.6666666666665,2636.666666666667,0.0,1,12,2,2,1561.685354193829,988.4561818181818,2043.351851851852,1837.16,1373.1092459861652,1600.2076392100812,1863.527095616479
2025-02-13,2395.4406779661017,1600.0,3155.0,59.0,0,13,2,3,1978.5630160799653,1095.2484375,2047.5573770491803,1919.057142857143,1558.8509946241797,1625.0564464184329,1879.4065467867777
2025-02-14,2491.685185185185,1350.0,3150.0,54.0,0,14,2,4,2395.4406779661017,1351.4915254237287,1982.0408163265306,1943.4871794871794,1721.7358031615306,1661.4596156226223,1897.679813643378
2025-02-15,2475.1458333333335,1450.0,3100.0,48.0,0,15,2,5,2491.685185185185,1236.2641509433963,2306.873015873016,1847.2372881355932,1898.7189006458073,1673.4791025840736,1918.6100984833026
2025-02-16,2392.2916666666665,1350.0,3305.0,24.0,0,16,2,6,2475.1458333333335,1243.7045454545455,2064.464285714286,1929.6940816326533,2062.802775104682,1696.8953440806724,1934.0300179844364
2025-02-17,2433.4603174603176,1086.0,3300.0,63.0,0,17,2,0,2392.2916666666665,1144.8076923076924,2103.793103448276,2086.2127659574467,2246.8960072693426,1720.4430022243894,1945.6049363678653
2025-02-18,2381.6382978723404,1190.0,3500.0,47.0,0,18,2,1,2433.4603174603176,1561.685354193829,1297.9574468085107,2185.344827586207,2364.0321420805585,1797.8487773003776,1952.14805204407
2025-02-19,2267.2,1350.0,3200.0,35.0,0,19,2,2,2381.6382978723404,1978.5630160799653,988.4561818181818,2179.8846153846152,2405.265996926278,1889.1876214562214,1955.0585648645826
2025-02-20,2165.1396923076927,1201.0,3500.0,65.0,0,20,2,3,2267.2,2395.4406779661017,1095.2484375,2184.5208333333335,2372.3658561179336,1965.6084253710567,1954.4125268303947
2025-02-21,2135.823684210526,951.0,3100.0,57.0,0,21,2,4,2165.1396923076927,2491.685185185185,1351.4915254237287,2169.7894736842104,2321.5284988358394,2021.632150998685,1953.2803338479387
2025-02-22,2112.744680851064,1500.0,3000.0,47.0,0,22,2,5,2135.823684210526,2475.1458333333335,1236.2641509433963,2180.866666666667,2269.756905624087,2084.237903134947,1951.0096009874185
2025-02-23,1948.2,1400.0,2800.0,25.0,0,23,2,6,2112.744680851064,2392.2916666666665,1243.7045454545455,2164.9795918367345,2206.3152389574198,2134.559007031051,1943.7836145928607
2025-02-24,2056.7379032258063,1130.0,2600.0,62.0,0,24,2,0,1948.2,2433.4603174603176,1144.8076923076924,2158.074074074074,2152.497751209633,2199.6968792394878,1940.4057422312515
2025-02-25,2033.549019607843,1080.0,2800.0,51.0,0,25,2,1,2056.7379032258063,2381.6382978723404,1561.685354193829,2213.269230769231,2102.7707114575614,2233.4014267690604,1934.4150685258721
2025-02-26,2060.967741935484,1500.0,2600.0,31.0,0,26,2,2,2033.549019607843,2267.2,1978.5630160799653,2141.34,2073.308960305488,2239.287478615883,1931.7359932570548
2025-02-27,2054.6153846153848,1191.0,2600.0,65.0,0,27,2,3,2060.967741935484,2165.1396923076927,2395.4406779661017,2155.796296296296,2057.5197734923013,2214.9428148051175,1928.3632962010245
2025-02-28,2057.8823529411766,1301.0,2500.0,51.0,0,28,2,4,2054.6153846153848,2135.823684210526,2491.685185185185,2043.351851851852,2046.38529759668,2183.9568982162596,1928.8476462373353
2025-03-01,2270.0440384615385,1525.0,3250.0,52.0,0,1,3,5,2057.8823529411766,2112.744680851064,2475.1458333333335,2047.5573770491803,2068.856634398176,2169.3067700111314,1936.263868284414
2025-03-02,1974.7,1100.0,3020.0,60.0,0,2,3,6,2270.0440384615385,1948.2,2392.2916666666665,1982.0408163265306,2072.6423486838908,2139.478793820655,1936.0191744068627
2025-03-03,2029.8387096774193,1350.0,2836.0,62.0,0,3,3,0,1974.7,2056.7379032258063,2433.4603174603176,2306.873015873016,2068.7996067484064,2110.6486789790197,1926.7846975336763
2025-03-04,1267.8870967741937,837.0,2000.0,62.0,0,4,3,1,2029.8387096774193,2033.549019607843,2381.6382978723404,2064.464285714286,1959.4193320578852,2031.0950217577233,1900.2321245690066
2025-03-05,993.6853703703704,275.0,1700.0,54.0,0,5,3,2,1267.8870967741937,2060.967741935484,2267.2,2103.793103448276,1806.9504218342975,1940.129691069893,1863.2285334664095
2025-03-06,1132.7868852459017,500.0,1700.0,61.0,0,6,3,3,993.6853703703704,2054.6153846153848,2165.1396923076927,1297.9574468085107,1675.2606362100855,1866.3902048511934,1857.7228480809895
2025-03-07,1331.605076923077,300.0,1900.0,65.0,0,7,3,4,1132.7868852459017,2057.8823529411766,2135.823684210526,988.4561818181818,1571.5067396360714,1808.9460186163758,1869.161144584486
2025-03-08,1254.1379310344828,850.0,2000.0,29.0,0,8,3,5,1331.605076923077,2270.0440384615385,2112.744680851064,1095.2484375,1426.3772957179208,1747.6169650580484,1874.4574610356353
2025-03-09,1234.5294117647059,500.0,2250.0,51.0,0,9,3,6,1254.1379310344828,1974.7,1948.2,1351.4915254237287,1320.638640255736,1696.6404944698131,1870.558723913668
2025-03-10,1160.1308888888889,837.0,2100.0,45.0,0,10,3,0,1234.5294117647059,2029.8387096774193,2056.7379032258063,1236.2641509433963,1196.3946658573743,1632.5971363028905,1868.020948511851
2025-03-11,1215.6423675213675,693.5,2300.0,0.0,1,11,3,1,1160.1308888888889,1267.8870967741937,2033.549019607843,1243.7045454545455,1188.9311331069707,1574.1752325824277,1867.0855425807451
2025-03-12,1271.1538461538462,550.0,2500.0,13.0,0,12,3,2,1215.6423675213675,993.6853703703704,2060.967741935484,1144.8076923076924,1228.5694867903242,1517.7599543123108,1871.2970810422835
2025-03-13,1427.4,1112.0,1800.0,5.0,0,13,3,3,1271.1538461538462,1132.7868852459017,2054.6153846153848,1561.685354193829,1270.6570746123384,1472.9588554112122,1866.820902569156
2025-03-14,1456.851851851852,950.0,1900.0,27.0,0,14,3,4,1427.4,1331.605076923077,2057.8823529411766,1978.5630160799653,1288.5494710307346,1430.0281053334031,1849.430530428219
2025-03-15,1508.2,1000.0,2600.0,45.0,0,15,3,5,1456.851851851852,1254.1379310344828,2270.0440384615385,2395.4406779661017,1324.8440523115228,1375.610674014722,1819.855841162682
2025-03-16,1597.7575757575758,1000.0,3500.0,33.0,0,16,3,6,1508.2,1234.5294117647059,1974.7,2491.685185185185,1376.73379002479,1348.6862151402631,1790.0582541817616
2025-03-17,1433.378787878788,1000.0,2666.0,66.0,0,17,3,0,1597.7575757575758,1160.1308888888889,2029.8387096774193,2475.1458333333335,1415.7692041662044,1306.0819350117893,1755.3326859999436
