date,avg_price,min_price,max_price,mandi_count,arrival_quantity,days_since_previous,day,month,day_of_week,day_of_year,lag_1,lag_2,lag_3,lag_7,lag_14,ma_3,ma_7,ma_14,std_7,change_1,change_3
2025-01-19,2185.344827586207,1425.0,2900.0,29,0.0,1.0,19,1,6,19,2086.2127659574467,1929.6940816326533,1847.2372881355932,1254.0,2359.464285714286,2067.0838917254355,1964.0276122366033,1716.6361363376107,127.3243471451303,0.047517714034917446,0.18303416763087532
2025-01-20,2179.8846153846152,800.0,2850.0,52,0.0,1.0,20,1,0,20,2185.344827586207,2086.2127659574467,1929.6940816326533,1837.16,2000.56,2150.480736309423,2012.9882715772624,1729.4450374365117,136.00721052424709,-0.0024985586405705806,0.12965295179860004
2025-01-21,2184.5208333333335,1500.0,3000.0,48,0.0,1.0,21,1,1,21,2179.8846153846152,2185.344827586207,2086.2127659574467,1919.057142857143,2059.9056603773583,2183.2500921013852,2050.9116559310037,1738.3461212190814,142.31470357485594,0.0021268180508262624,0.04712274269435279
2025-01-22,2169.7894736842104,1330.0,3000.0,57,0.0,1.0,22,1,2,22,2184.5208333333335,2179.8846153846152,2185.344827586207,1943.4871794871794,1353.28125,2178.064974134053,2083.2405551020083,1796.6681371965249,139.52100348744798,-0.006743519871423964,-0.007118031765805166
2025-01-23,2180.866666666667,1000.0,3000.0,60,0.0,1.0,23,1,3,23,2169.7894736842104,2184.5208333333335,2179.8846153846152,1847.2372881355932,1071.1363636363637,2178.3923245614037,2130.901894892162,1875.9345874129751,95.50633046307637,0.005105192516049906,0.00045050608418484295
2025-01-24,2164.9795918367345,1300.0,2800.0,49,0.0,1.0,24,1,4,24,2180.866666666667,2169.7894736842104,2184.5208333333335,1929.6940816326533,1325.0935,2171.8785773958703,2164.5141106356023,1935.926451115599,35.34825062437628,-0.00728475292541142,-0.008945321646020354
2025-01-25,2158.074074074074,1200.0,3000.0,54,0.0,1.0,25,1,5,25,2164.9795918367345,2180.866666666667,2169.7894736842104,2086.2127659574467,1220.7358490566037,2167.9734441924916,2174.78001179512,2002.87918147399,10.564447764475299,-0.003189645661648921,-0.005399325488589568
2025-01-26,2213.269230769231,1250.0,2805.0,26,0.0,1.0,26,1,6,26,2158.074074074074,2164.9795918367345,2180.866666666667,2185.344827586207,1254.0,2178.7742988933464,2178.769212249838,2071.3984122432207,17.926023643816478,0.02557611777938562,0.014857654802019393
2025-01-27,2141.34,1297.0,4055.0,54,0.0,1.0,27,1,0,27,2213.269230769231,2158.074074074074,2164.9795918367345,2179.8846153846152,1837.16,2170.8944349477683,2173.262838623464,2093.1255551003637,22.78711146668134,-0.03249908767051879,-0.010919082990837325
2025-01-28,2155.796296296296,1250.0,3250.0,54,0.0,1.0,28,1,1,28,2141.34,2213.269230769231,2158.074074074074,2184.5208333333335,1919.057142857143,2170.135175688509,2169.159333332459,2110.0354946317316,23.007176634823864,0.006751051349293435,-0.001055467838264601
2025-01-29,2043.351851851852,1300.0,3100.0,54,0.0,1.0,29,1,2,29,2155.796296296296,2141.34,2213.269230769231,2169.7894736842104,1943.4871794871794,2113.496049382716,2151.0968159278364,2117.1686855149223,52.787821567289896,-0.052159123121987894,-0.07677212358765928
2025-01-30,2047.5573770491803,1250.0,3000.0,61,0.0,1.0,30,1,3,30,2043.351851851852,2155.796296296296,2141.34,2180.866666666667,1847.2372881355932,2082.235175065776,2132.052631696767,2131.4772632944646,63.264957854548165,0.00205815028553058,-0.043796231775813155
2025-01-31,1982.0408163265306,1230.0,2800.0,49,0.0,1.0,31,1,4,31,2047.5573770491803,2043.351851851852,2155.796296296296,2164.9795918367345,1929.6940816326533,2024.3166817425208,2105.918520909595,2135.216315772598,82.31357439105267,-0.031997423592138086,-0.08059921072704368
2025-02-01,2306.873015873016,1150.0,3200.0,63,0.0,1.0,1,2,5,32,1982.0408163265306,2047.5573770491803,2043.351851851852,2158.074074074074,2086.2127659574467,2112.1570697495754,2127.175512595158,2150.977762195139,111.9171096732296,0.1638877448288487,0.12896514312125906
2025-02-02,2064.464285714286,1300.0,2725.0,28,0.0,1.0,2,2,6,33,2306.873015873016,1982.0408163265306,2047.5573770491803,2213.269230769231,2185.344827586207,2117.7927059712774,2105.9176633015945,2142.343437775716,106.85654963346168,-0.10508108963552665,0.008257111060531397
2025-02-03,2103.793103448276,1300.0,2800.0,29,0.0,1.0,3,2,0,34,2064.464285714286,2306.873015873016,1982.0408163265306,2141.34,2179.8846153846152,2158.3768016785257,2100.5538209370625,2136.9083297802636,105.71842269319717,0.019050374475421128,0.0614277395898426
2025-02-04,1297.9574468085107,886.0,2250.0,47,0.0,1.0,4,2,1,35,2103.793103448276,2064.464285714286,2306.873015873016,2155.796296296296,2184.5208333333335,1822.0716119903575,1978.0054138673786,2073.582373599919,317.0280569954047,-0.38303940407397463,-0.4373520181312147
2025-02-05,988.4561818181818,600.0,1933.0,55,0.0,1.0,5,2,2,36,1297.9574468085107,2103.793103448276,2064.464285714286,2043.351851851852,2169.7894736842104,1463.4022440249894,1827.3060324339972,1989.2014241809168,486.3137077845191,-0.23845255154654543,-0.5212045136076622
2025-02-06,1095.2484375,400.0,1750.0,64,0.0,1.0,6,2,3,37,988.4561818181818,1297.9574468085107,2103.793103448276,2047.5573770491803,2180.866666666667,1127.2206887088976,1691.2618982126858,1911.6572649547265,544.1886554891188,0.10803944337257598,-0.4793934652106212
