date,avg_price,min_price,max_price,mandi_count,day,month,day_of_week,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30,std_7,std_14,change_1,change_7
2025-02-04,1297.9574468085107,886.0,2250.0,47,4,2,1,2103.793103448276,2064.464285714286,2306.873015873016,2155.796296296296,2184.5208333333335,2359.464285714286,1978.0054138673786,2073.582373599919,1914.2488195947788,317.0280569954047,237.63353943510697,-0.38303940407397463,-0.397922035102097
2025-02-05,988.4561818181818,600.0,1933.0,55,5,2,2,1297.9574468085107,2103.793103448276,2064.464285714286,2043.351851851852,2169.7894736842104,2000.56,1827.3060324339972,1989.2014241809168,1880.5120256553848,486.3137077845191,372.3797801949088,-0.23845255154654543,-0.5162574762039331
2025-02-06,1095.2484375,400.0,1750.0,64,6,2,3,988.4561818181818,1297.9574468085107,2103.793103448276,2047.5573770491803,2180.866666666667,2059.9056603773583,1691.2618982126858,1911.6572649547265,1848.3567848928062,544.1886554891188,436.8506287113363,0.10803944337257598,-0.465095117833324
2025-02-07,1351.4915254237287,900.0,1800.0,59,7,2,4,1095.2484375,988.4561818181818,1297.9574468085107,1982.0408163265306,2164.9795918367345,1353.28125,1601.183428083714,1853.5509744966546,1848.2971274069305,540.2068073307026,454.31646154902893,0.23395887101982638,-0.3181313349900874
2025-02-08,1236.2641509433963,450.0,1900.0,53,8,2,5,1351.4915254237287,1095.2484375,988.4561818181818,2306.873015873016,2158.074074074074,1071.1363636363637,1448.2393045223398,1787.7074085587487,1853.8013869838317,451.3618869800713,473.1935907254968,-0.08525941325766395,-0.464095274236175
2025-02-09,1243.7045454545455,500.0,2200.0,44,9,2,6,1236.2641509433963,1351.4915254237287,1095.2484375,2064.464285714286,2213.269230769231,1325.0935,1330.9879130566626,1718.4527881791284,1851.0884218323163,362.4526030454897,477.0540754927755,0.0060184504302509545,-0.3975654826965267
2025-02-10,1144.8076923076924,450.0,1600.0,26,10,2,0,1243.7045454545455,1236.2641509433963,1351.4915254237287,2103.793103448276,2141.34,1220.7358490566037,1193.9899971794366,1647.2719090582493,1848.5574832740194,125.3578519982566,483.4052877274601,-0.07951796389930266,-0.4558363698258797
2025-02-13,2395.4406779661017,1600.0,3155.0,59,13,2,3,1144.8076923076924,1243.7045454545455,1236.2641509433963,1297.9574468085107,2155.796296296296,1254.0,1350.773315916235,1664.389364891807,1886.6055058728894,475.20083313745636,506.489128964631,1.0924393625774784,0.8455463881779355
2025-02-14,2491.685185185185,1350.0,3150.0,54,14,2,4,2395.4406779661017,1144.8076923076924,1243.7045454545455,988.4561818181818,2043.351851851852,1837.16,1565.520316397236,1696.4131744156166,1908.4230120457287,605.8722719016815,545.0020859066411,0.040178205248147414,1.5207846650338515
2025-02-15,2475.1458333333335,1450.0,3100.0,48,15,2,5,2491.685185185185,2395.4406779661017,1144.8076923076924,1095.2484375,2047.5573770491803,1919.057142857143,1762.6485158019975,1726.9552070073419,1926.9593017282684,650.2222070353606,577.2226233510768,-0.00663781763048954,1.259894420833934
2025-02-16,2392.2916666666665,1350.0,3305.0,24,16,2,6,2475.1458333333335,2491.685185185185,2395.4406779661017,1351.4915254237287,1982.0408163265306,1943.4871794871794,1911.3342502652745,1756.2588391744944,1941.919451300918,659.4671844748729,601.0887260926255,-0.033474458575673216,0.7701122216927103
2025-02-17,2433.4603174603176,1086.0,3300.0,63,17,2,0,2392.2916666666665,2475.1458333333335,2491.685185185185,1236.2641509433963,2306.873015873016,1847.2372881355932,2082.362274053406,1765.300789287873,1961.4602189450754,608.4849629743384,610.8808779011537,0.01720887606109245,0.9683983520862736
2025-02-18,2381.6382978723404,1190.0,3500.0,47,18,2,1,2433.4603174603176,2392.2916666666665,2475.1458333333335,1243.7045454545455,2064.464285714286,1929.6940816326533,2244.9242386845194,1787.956075870591,1976.525026153065,486.95624500162086,628.4577135006897,-0.021295609061774745,0.9149550482682414
2025-02-19,2267.2,1350.0,3200.0,35,19,2,2,2381.6382978723404,2433.4603174603176,2392.2916666666665,1144.8076923076924,2103.793103448276,2086.2127659574467,2405.265996926278,1799.6279970528572,1982.5579339544836,74.19764726073228,636.2439486167932,-0.04805024254714718,0.9804199563245419
2025-02-20,2165.1396923076927,1201.0,3500.0,65,20,2,3,2267.2,2381.6382978723404,2433.4603174603176,2395.4406779661017,1297.9574468085107,2185.344827586207,2372.3658561179336,1861.5695860170847,1981.8844294451999,117.6285931614239,625.7729694083067,-0.04501601433146929,-0.09614138549820017
2025-02-21,2135.823684210526,951.0,3100.0,57,21,2,4,2165.1396923076927,2267.2,2381.6382978723404,2491.685185185185,988.4561818181818,2179.8846153846152,2321.5284988358394,1943.5244076165377,1980.415731739397,133.3185121606888,575.7636744736166,-0.01354000769618724,-0.14281960782626357
2025-02-22,2112.744680851064,1500.0,3000.0,47,22,2,5,2135.823684210526,2165.1396923076927,2267.2,2475.1458333333335,1095.2484375,2184.5208333333335,2269.756905624087,2016.202710713042,1978.0231933233213,134.08533741417628,522.1746682411841,-0.01080566880594025,-0.14641608086349234
2025-02-23,1948.2,1400.0,2800.0,25,23,2,6,2112.744680851064,2135.823684210526,2165.1396923076927,2392.2916666666665,1351.4915254237287,2169.7894736842104,2206.3152389574198,2058.8247446113473,1970.6368775338476,167.373547622031,486.9065203262706,-0.07788195248693341,-0.1856344160933553
2025-02-24,2056.7379032258063,1130.0,2600.0,62,24,2,0,1948.2,2112.744680851064,2135.823684210526,2433.4603174603176,1236.2641509433963,2180.866666666667,2152.497751209633,2117.4300126315197,1966.4992520858189,140.58666687942798,425.83201946909395,0.05571188955230788,-0.15480935174142385
