date,avg_price,min_price,max_price,mandi_count,arrival_quantity,days_since_previous,day,month,day_of_week,day_of_year,lag_1,lag_2,lag_3,lag_7,lag_14,ma_3,ma_7,ma_14,std_7,change_1,change_3
2025-01-19,3996.0,3250.0,4900.0,5,0.0,1.0,19,1,6,19,4115.454545454545,4010.5555555555557,3883.5384615384614,4142.5,4238.5,4040.6700336700337,4116.414173128459,4068.6349364920793,200.23735937837674,-0.029025844930417377,0.02895852315493408
2025-01-20,4380.0,3250.0,6600.0,9,0.0,1.0,20,1,0,20,3996.0,4115.454545454545,4010.5555555555557,4485.0,4514.545454545455,4163.818181818181,4101.414173128459,4059.0245468816897,169.61573084570082,0.09609609609609615,0.09211802188668794
2025-01-21,4423.125,3250.0,6500.0,8,0.0,1.0,21,1,1,21,4380.0,3996.0,4115.454545454545,4060.714285714286,4039.0,4266.375,4153.187132312132,4086.4620468816897,206.43613906578642,0.009845890410958846,0.07475977468522221
2025-01-22,4337.0,3250.0,6500.0,10,0.0,1.0,22,1,2,22,4423.125,4380.0,3996.0,4263.636363636364,3825.5,4380.041666666667,4163.667651792652,4122.997761167404,214.67592850689522,-0.019471527483396867,0.08533533533533544
2025-01-23,4314.444444444444,3250.0,6500.0,9,0.0,1.0,23,1,3,23,4337.0,4423.125,4380.0,3883.5384615384614,3250.0,4358.189814814815,4225.225649350649,4199.02950719915,179.93058578621674,-0.00520072758947554,-0.014967021816336912
2025-01-24,4202.5,3250.0,6500.0,8,0.0,1.0,24,1,4,24,4314.444444444444,4337.0,4423.125,4010.5555555555557,4102.777777777777,4284.648148148149,4252.6462842712845,4206.152523072166,154.6070619562628,-0.025946433170229155,-0.04987989260986292
2025-01-25,4322.5,3250.0,6500.0,12,0.0,1.0,25,1,5,25,4202.5,4314.444444444444,4337.0,4115.454545454545,4271.666666666667,4279.814814814815,4282.224206349207,4209.783475453119,143.38413192127229,0.028554431885782217,-0.003343324878948617
2025-01-26,3894.0,3250.0,5100.0,10,0.0,1.0,26,1,6,26,4322.5,4202.5,4314.444444444444,3996.0,4142.5,4139.666666666667,4267.652777777778,4192.033475453119,178.26081458631208,-0.0991324465008675,-0.09745042492917844
2025-01-27,3759.090909090909,2000.0,6500.0,11,0.0,1.0,27,1,0,27,3894.0,4322.5,4202.5,4380.0,4485.0,3991.863636363636,4178.951479076479,4140.182826102469,252.19018659998252,-0.03464537516925814,-0.10551078903250233
2025-01-28,3937.5,3250.0,5000.0,8,0.0,1.0,28,1,1,28,3759.090909090909,3894.0,4322.5,4423.125,4060.714285714286,3863.5303030303025,4109.576479076479,4131.3818056943055,240.34253866687646,0.047460701330108934,-0.08906882591093113
2025-01-29,4283.6,2601.0,6750.0,10,0.0,1.0,29,1,2,29,3937.5,3759.090909090909,3894.0,4337.0,4263.636363636364,3993.3969696969702,4101.947907647908,4132.8077797202795,232.6451438020705,0.08789841269841281,0.10005136106831025
2025-01-30,4563.0,2000.0,8000.0,10,0.0,1.0,30,1,3,30,4283.6,3937.5,3759.090909090909,4314.444444444444,3883.5384615384614,4261.366666666668,4137.455844155845,4181.340746753247,283.82246106632556,0.06522551125221776,0.21385731559854904
2025-01-31,4378.75,3250.0,6750.0,8,0.0,1.0,31,1,4,31,4563.0,4283.6,3937.5,4202.5,4010.5555555555557,4408.450000000001,4162.634415584415,4207.64034992785,298.017208858609,-0.04037913653298264,0.11206349206349198
2025-02-01,4213.461538461538,2000.0,6500.0,13,0.0,1.0,1,2,5,32,4378.75,4563.0,4283.6,4322.5,4115.454545454545,4385.070512820513,4147.0574925074925,4214.64084942835,291.03649492428315,-0.03774786446781886,-0.01637371872687976
2025-02-02,3820.2,3250.0,4601.0,5,0.0,1.0,2,2,6,33,4213.461538461538,4378.75,4563.0,3894.0,3996.0,4137.470512820513,4136.514635364635,4202.083706571207,302.8291903873196,-0.09333455043359196,-0.16278763971071664
2025-02-03,3787.5,2600.0,5000.0,4,0.0,1.0,3,2,0,34,3820.2,4213.461538461538,4378.75,3759.090909090909,4380.0,3940.3871794871793,4140.573076923077,4159.762277999778,297.063506457519,-0.008559761269043453,-0.1350271196117614
2025-02-04,3796.25,2600.0,5000.0,8,0.0,1.0,4,2,1,35,3787.5,3820.2,4213.461538461538,3937.5,4423.125,3801.316666666667,4120.394505494505,4114.985492285492,317.26693407116505,0.0023102310231022383,-0.09901871291647646
2025-02-05,4050.0,2600.0,6750.0,8,0.0,1.0,5,2,2,36,3796.25,3787.5,3820.2,4283.6,4337.0,3877.9166666666665,4087.0230769230766,4094.4854922854925,309.42786773394346,0.06684227856437275,0.060153918643003124
2025-02-06,4041.875,2600.0,6750.0,8,0.0,1.0,6,2,3,37,4050.0,3796.25,3787.5,4563.0,4314.444444444444,3962.7083333333335,4012.576648351648,4075.016246253746,227.728659607964,-0.002006172839506215,0.06716171617161715
2025-02-07,3955.5,1700.0,6700.0,10,0.0,1.0,7,2,4,38,4041.875,4050.0,3796.25,4378.75,4202.5,4015.7916666666665,3952.1123626373624,4057.373389110889,160.5954367565374,-0.02137003247255298,0.04194929206453746
2025-02-08,4315.5,2600.0,6750.0,10,0.0,1.0,8,2,5,39,3955.5,4041.875,4050.0,4213.461538461538,4322.5,4104.291666666667,3966.6892857142857,4056.873389110889,190.17761098572575,0.09101251422070544,0.06555555555555559
2025-02-09,3897.5,2155.0,6750.0,8,0.0,1.0,9,2,6,40,4315.5,3955.5,4041.875,3820.2,3894.0,4056.1666666666665,3977.7321428571427,4057.123389110889,182.33649108761193,-0.0968601552543158,-0.03571980825730636
