date,avg_price,min_price,max_price,mandi_count,arrival_quantity,days_since_previous,day,month,day_of_week,day_of_year,lag_1,lag_2,lag_3,lag_7,lag_14,ma_3,ma_7,ma_14,std_7,change_1,change_3
2025-01-19,2850.0,2500.0,3500.0,14,0.0,1.0,19,1,6,19,2896.6101694915255,2917.9032258064517,2936.866666666667,2682.92,2936.8030303030305,2888.1711317659924,2932.7930439122697,2807.7640615537466,52.93576963259264,-0.016091281451141026,-0.029578008308174253
2025-01-20,2966.921568627451,2000.0,4000.0,51,0.0,1.0,20,1,0,20,2850.0,2896.6101694915255,2917.9032258064517,2957.6071428571427,2884.5,2904.5105793729927,2934.123676165171,2813.6513164557073,53.77390454023067,0.04102511179910562,0.016799166739826177
2025-01-21,2996.25,2100.0,4500.0,48,0.0,1.0,21,1,1,21,2966.921568627451,2850.0,2896.6101694915255,3019.0833333333335,2737.6,2937.72385620915,2930.861771403266,2832.126316455707,48.160934143382384,0.009885138752123046,0.03439877121123458
2025-01-22,2958.8852459016393,2100.0,4500.0,61,0.0,1.0,22,1,2,22,2996.25,2966.921568627451,2850.0,2951.480769230769,2696.0185185185187,2974.0189381763635,2931.9195537848195,2850.9025112687877,48.76678034612396,-0.012470506165493722,0.03820534943917164
2025-01-23,2897.156862745098,2000.0,4500.0,51,0.0,1.0,23,1,3,23,2958.8852459016393,2996.25,2966.921568627451,2936.866666666667,2560.2,2950.7640362155794,2926.2467246531664,2874.9708586077236,50.37839653052613,-0.020862040270754556,-0.023514172609095163
2025-01-24,2906.390625,2100.0,4500.0,64,0.0,1.0,24,1,4,24,2897.156862745098,2958.8852459016393,2996.25,2917.9032258064517,2573.561797752809,2920.8109112155794,2924.602067395102,2898.744346268237,50.88158386534596,0.0031871806368650724,-0.029990613266583255
2025-01-25,2916.88,2000.0,4500.0,50,0.0,1.0,25,1,5,25,2906.390625,2897.156862745098,2958.8852459016393,2896.6101694915255,2644.345238095238,2906.809162581699,2927.497757467741,2918.2111149757193,49.583267153194164,0.003609072679279013,-0.0141963078696008
2025-01-26,2968.75,2500.0,3600.0,8,0.0,1.0,26,1,6,26,2916.88,2906.390625,2897.156862745098,2850.0,2682.92,2930.6735416666666,2944.4620431820267,2938.627543547148,37.48852816162569,0.017782699322563822,0.024711515684748386
2025-01-27,2925.4927536231885,2000.0,4500.0,69,0.0,1.0,27,1,0,27,2968.75,2916.88,2906.390625,2966.921568627451,2957.6071428571427,2937.040917874396,2938.5436410385605,2936.333658601866,36.61181443641975,-0.014570861937452273,0.006572457418103861
2025-01-28,2899.6428571428573,2154.0,4500.0,56,0.0,1.0,28,1,1,28,2925.4927536231885,2968.75,2916.88,2996.25,3019.0833333333335,2931.2952035886824,2924.7426206303976,2927.802196016832,28.555559035352967,-0.008836082895203323,-0.00590944531730575
